group_term,matched_substrings,explanation,
Skin abnormalities,"scaling skin, Cutis laxa, carbuncle, eczem",DISEASE,
Systemic health decrease ,"failure to thrive, competitive fitness:decreased, sick, inviable, premature death, not viable, viability decreased,nonviable,non-viable",DISEASE,
Viability ,"viable, viability:increased,viability:normal",,
Fibrosis,"fibros, fibrot",DISEASE,
Fatigue,"Fatigue,fatigability",,
Sclerosis,sclerosis,DISEASE,
Fractures,fracture,DISEASE,
Diabetes related phenotype,"diabet,insulin",DISEASE,
Stress resilience phenotype,"resist, resilien,  susceptibl,  sensitiv,stress response, oxidative stress, induced stress, osmotic stress",,
Cancer,"tumor, cancer, Carcin, noma, onco,carci,carce,tumor,melanoma,metasta,leukem,myelom,lymphom,cance,cancr,ioma",DISEASE,
Aplasia/Hypoplasia of skin,"Aplasia cutis, Aplasia/Hypoplasia of the skin",DISEASE,
Aplasia/Hypoplasia of bone,"Aplasia/Hypoplasia of the pubic bone, Carpal bone aplasia,Aplasia/Hypoplasia of the patella, Aplasia/Hypoplasia involving the pelvis, Aplasia/Hypoplasia of the middle phalanx of the 5th finger,  Aplasia of the middle phalanx of the hand, Aplasia/hypoplasia of the femur, Aplasia/Hypoplasia of the capital femoral epiphysis, Aplasia/Hypoplasia of the sternum, Fibular aplasia, Aplasia/Hypoplasia of the 5th finger,Aplasia/Hypoplasia of the tarsal bones,  Aplasia/Hypoplasia of the ulna, Aplasia/Hypoplasia of the phalanges of the hand,  Aplasia of the maxilla,Aplasia/Hypoplasia of the middle phalanges of the toes, Mandibular aplasia, Aplastic pubic bones, Aplasia/Hypoplasia of the middle phalanges of the hand, Aplasia/Hypoplasia involving the carpal bones, Aplasia/hypoplasia of the extremities, Aplasia/Hypoplasia involving the metacarpal bones, Aplasia/Hypoplasia of the sacrum, Aplasia/Hypoplasia of the thumb, Aplasia/Hypoplasia of fingers, Aplasia of the middle phalanges of the toes, Aplasia/Hypoplasia of the phalanges of the toes, Aplasia/Hypoplasia of the middle phalanx of the 2nd finger, Aplasia of the fingers, Aplasia/Hypoplasia of the 1st metacarpal, Aplasia/Hypoplasia of the radius, Patellar aplasia, Aplasia/Hypoplasia of the proximal phalanx of the hallux, Aplasia/Hypoplasia of the fibula, Aplasia/Hypoplasia of metatarsal bones, Aplasia of the ulna",DISEASE,
Aplasia/Hypoplasia of musculature,"Aplasia/Hypoplasia of the abdominal wall musculature, Aplasia/Hypoplasia involving the skeletal musculature, Aplasia of the pectoralis major muscle",DISEASE,
Liver failure,"Hepatic failure, Liver failure",DISEASE,
Nevrosis,"nevrosis, nevrotic",DISEASE,
Abberant proliferation,"neopla, invasi",DISEASE,
Nervous system defect,"Aplasia/Hypoplasia of the corpus callosum,Aplasia/Hypoplasia of the cerebellum, Aplasia/Hypoplasia of the cerebellar vermis",DISEASE,
Complex brain phenotype,"CNS,dement,intellect,autist, autism,adhd,ADHD,Parkinson,Alzheimer,dysphasia,corpus callosum,pineal,melatonin,seizur,epilep,speech,thalam,macroceph,Gait ,microceph,migrain,learn, memor,Dysarthria",DISEASE,
Neurotransmiters related phenotype,"seroton,dopamin, Neurotransm",DISEASE,
Aging-related phenotype,"gero,age-rel,aging,ageing,senesc,frailty,lifespan, life span, long lived, mortality,  age-relat, age-associat,  wrinkle, graying hair, graying of hair,graying of coat, graying coat,greying hair, short lived",DISEASE,
Blood vessel narrowing,"stenosis, stricture",DISEASE,
Extremities absent,Absent hand,DISEASE,
Thrombosis,thrombosis,DISEASE,
Edema occurence,edem,DISEASE,
Immunodeficiency,"Beta-cell dysfunction,Abnormality of the immune system,Abnormality of immune system, Severe T-cell immunodeficiency, Immunodeficiency",DISEASE,
Immunologic hypersensitivity,Immunologic hypersensitivity,DISEASE,
Pathological condition,Patho,DISEASE,
Inflamation phenotype,"empyema, itis",DISEASE,
Pharmacological,Pharmac,DISEASE,
Paralysis,"paraly, paraple, pleg, hamstrung, incapacit, palsy",DISEASE,
Caries ,caries,DISEASE,
Cystic-like features,cyst,DISEASE,
Achalsia,Achalsi,DISEASE,
Agenesis,agenes,DISEASE,
Aggregation,aggrega,DISEASE,
Obesity related phenotype,"obesi, obese",,
Amyloid-like formations,amyloid,DISEASE,
Analgesia,analges,DISEASE,
Anaphylaxis,anaphyl,DISEASE,
Anaplasia phenotype,anaplasi,DISEASE,
Aneurysm,aneurysm,DISEASE,
Angina Pectoris ,angina,DISEASE,
Angiogenetic and blood vessels formation ,angiogenesis,DISEASE,
Aphasia,aphasia,DISEASE,
Apoptosis,"apoptosis, cell death",DISEASE,
Necrosis related phenotype,"necrosis, gangrene",DISEASE,
Ataxia and immobility,ataxia,DISEASE,
Atrophy phenotype,atrophy,DISEASE,
Weight loss,"weight loss, cachexia, scrawny",DISEASE,
Caseous,caseous,DISEASE,
Catarrh,catarrh,DISEASE,
Cellulitis phenotype,cellulitis,DISEASE,
Cholangitis,cholangitis,DISEASE,
Congestion,congestion,DISEASE,
Degenerative-like phenotype,degenerativ,DISEASE,
Effusion phenotype,"effusio, exudat",DISEASE,
Autoimmune diseases,autoimmun,DISEASE,
Small molecule transport,small molecule,,
Fatty acid metabolism,fatty acid,IMPAIRMENT,
Visual impairment,"blind,visual loss, abnormality of color vision, Nyctalopia, Aplasia of the optic tract, Aplasia/Hypoplasia of the lens, Band keratopathy, visual impairment,Amaurosis fugax",IMPAIRMENT,
Hearing impairment,"audio,audit, hearing impairment, Aplasia of the inner ear, Aplasia of the semicircular canal",IMPAIRMENT,
Short stature,short stature,IMPAIRMENT,
