division,category,Gene Symbol,Gene Name,Synonyms,MGI_IDs,MGI_IDs Links,UniProt_IDs,Refseq_IDs,Notes
Core matrisome,ECM Glycoproteins,5430419D17Rik,RIKEN cDNA 5430419D17 gene,-,MGI:1918645,MGI:1918645,Q8BZE1,NP_780375.2,
Core matrisome,ECM Glycoproteins,Abi3bp,"ABI gene family, member 3 (NESH) binding protein",5033411B22Rik|AI506287|BG172926|D930038M13Rik|MGC1,MGI:2444583,MGI:2444583,B2RWZ0:E9Q8E3:Q59IW5:Q59IW6:Q59IW7:Q59IW8:Q59IW9:Q8BKQ1:Q8BLU9:Q8BUA2:Q8R0M1,NP_001014421.2:NP_001014424.1:NP_001014423.1:NP_001014422.1:NP_001014421.2:NP_848905.2,
Core matrisome,ECM Glycoproteins,Adipoq,"adiponectin, C1Q and collagen domain containing",30kDa|APN|Acdc|Acrp30|GBP28|adipo|apM1,MGI:106675,MGI:106675,E9PWU4:Q60994:Q8BRW2,NP_033735.3,
Core matrisome,ECM Glycoproteins,Aebp1,AE binding protein 1,ACLP,MGI:1197012,MGI:1197012,Q640N1,NP_033766.2,
Core matrisome,ECM Glycoproteins,Agrn,agrin,Agrin,MGI:87961,MGI:87961,A2ASQ1:M0QWP1:O08860:Q52L98:Q5EBX5:Q6PCM6:Q80V56:Q8K326:Q91XS3:Q99KT4:Q9ERP2:Z4YJS5:Z4YK85,NP_067617.3,
Core matrisome,ECM Glycoproteins,Ambn,ameloblastin,MGC107285,MGI:104655,MGI:104655,O55189:Q5M8P3:Q9CU73,NP_033794.1:XP_006534796.1,
Core matrisome,ECM Glycoproteins,Amelx,amelogenin X chromosome,ALGN|AMGL|AMGX|Amel|Amg,MGI:88005,MGI:88005,P63277:Q5MAQ9:Q6PCW7:R9W2T8,NP_001075447.1:NP_001277300.1:NP_033796.1:XP_006528755.1:NP_001075447.1:NP_001277300.1:NP_033796.1,
Core matrisome,ECM Glycoproteins,AW551984,expressed sequence AW551984,BCSC-1 |3222402N16,MGI:2143322,MGI:2143322,D3Z518:D3Z5E6:Q6P8K4:Q8BGF0:Q8C1D4,NP_001186485.1:NP_848852.1:XP_006510367.1:NP_001186485.1,
Core matrisome,ECM Glycoproteins,Bglap2,bone gamma-carboxyglutamate protein 2,Bglap1|Bgp|Og2|mOC-B,MGI:88157,MGI:88157,P86547,NP_001027469.2,
Core matrisome,ECM Glycoproteins,Bglap3,"bone gamma-carboxyglutamate protein, related sequence 1",AI461847|MGC123552|ORG|mOC-X|Bglap-rs1,MGI:88155,MGI:88155,P54615:Q78H72,NP_112736.3:XP_006501001.1:NP_112736.3,
Core matrisome,ECM Glycoproteins,Bmper,BMP-binding endothelial regulator,3110056H04Rik|CV-2|Crim3|Cv2,MGI:1920480,MGI:1920480,Q8CJ69,NP_082748.1,Growth Factor-binding
Core matrisome,ECM Glycoproteins,Bsph1,binder of sperm protein homolog 1,Gm767,MGI:2685613,MGI:2685613,B7ZWD1:Q3UW26,XP_006540164.1:NP_001028590.1,
Core matrisome,ECM Glycoproteins,Bsph2,RIKEN cDNA 9230107M04 gene,Bsph2|Bsph2a|9230107M04Rik,MGI:1924934,MGI:1924934,Q0Q236,NP_001074411.1,
Core matrisome,ECM Glycoproteins,Cdcp2,CUB domain containing protein 2,D030010E02Rik,MGI:3045328,MGI:3045328,Q8BQH6,NP_766461.1:XP_006503150.1,
Core matrisome,ECM Glycoproteins,Cilp,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",9830114D16|C130036G17Rik,MGI:2444507,MGI:2444507,D6RD06:Q66K08,NP_775561.1,
Core matrisome,ECM Glycoproteins,Cilp2,cartilage intermediate layer protein 2,1110031K21Rik|AA407300|CLIP-2,MGI:1915959,MGI:1915959,D3Z7H8:Q3V4C8,NP_081094.2,
Core matrisome,ECM Glycoproteins,Coch,coagulation factor C homolog (Limulus polyphemus),AW122937|Coch-5B2|D12H14S564E,MGI:1278313,MGI:1278313,Q3U0Z1:Q62507,NP_001185764.1:NP_031754.1,
Core matrisome,ECM Glycoproteins,Colq,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,MGC130387,MGI:1338761,MGI:1338761,D3Z1C2:E9PVR3:O35348:Q3KNA4,XP_006519256.1:NP_034067.2,Basement Membrane 
