division,category,Matrisome Class / Protein Family,geneid,FlyBase Link,Gene Name,UniProt ID,UniProt Protein Name,InterPro Domains,Gene Ontology _Cellular component,Gene Ontology_Biological process,Human Orthologs,Other Gene Names,combined_orthology,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens,Basement Membrane,FBgn0000299,FBgn0000299,Col4a1,P08120,IP13257p,IPR016187;IPR008160;IPR001442;IPR036954,basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587],cardiac muscle cell development [GO:0055013]; dorsal closure [GO:0007391]; intestinal epithelial structure maintenance [GO:0060729]; oviduct morphogenesis [GO:0035848]; post-embryonic digestive tract morphogenesis [GO:0048621],COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL24A1; COL26A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,Cg25C DCg1 CG4145,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL24A1; COL26A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens,Basement Membrane,FBgn0260660,FBgn0260660,Mp,D5AEK4;E1JI49;E1JI50;E1JI51;E1JI52;E1JID9;E1JIE0;E1JIE1;E1JIE2;E1JIE3;M9ND55;Q86BH1;Q8MSE3;Q8MT89;X2JC42;X2JCL0;X2JGC3,"Multiplexin, isoform U",IPR013320;IPR008160;IPR039070;IPR016186;IPR016187;IPR010515;IPR001791,collagen trimer [GO:0005581]; extracellular matrix [GO:0031012],basement membrane organization [GO:0071711]; cardiac muscle atrophy [GO:0014899]; cell adhesion [GO:0007155]; mitochondrion organization [GO:0007005]; motor neuron axon guidance [GO:0008045]; positive regulation of integrin-mediated signaling pathway [GO:2001046]; skeletal muscle atrophy [GO:0014732],COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL15A1; COL16A1; COL17A1; COL18A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,Mp COL18A1 CT14872 Dmel\CG42543 Dmp dmp mp CG14822 CG33171 CG42543 CG8645 CG8647 Dmel_CG42543,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL15A1; COL16A1; COL17A1; COL18A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,Collagens,Basement Membrane,FBgn0016075,FBgn0016075,vkg,O18407;Q9VMV5,"Viking, isoform A (Viking, isoform B) (Viking, isoform C)",IPR016187;IPR008160;IPR001442;IPR036954,basement membrane [GO:0005604]; collagen type IV trimer [GO:0005587],anterior Malpighian tubule development [GO:0061327]; Malpighian tubule morphogenesis [GO:0007443]; skeletal muscle tissue development [GO:0007519],COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,vkg 1209 6072 alpha(IV)2 col4a2 Coll IValpha2 coll-IV coll. IV collagen-IV CT25584 DmColA2 Dmel\CG16858 l(2)01209 Vkg VkgC CG16858 Dmel_CG16858,COLQ; VWA1; VWA2; COL11A1; COL11A2; COL14A1; COL16A1; COL17A1; COL19A1; COL1A1; COL1A2; COL20A1; COL22A1; COL23A1; COL24A1; COL25A1; COL27A1; COL2A1; COL3A1; COL4A1; COL4A2; COL4A3; COL4A4; COL4A5; COL4A6; COL5A1; COL5A2; COL5A3; COL6A1; COL6A3; COL6A5; COL6A6; COL7A1; COL9A1; COL9A2; COL9A3,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Basement Membrane,FBgn0026403,FBgn0026403,Ndg,A1Z877,"LP19846p (Nidogen/entactin, isoform A) (Nidogen/entactin, isoform C)",IPR000152;IPR018097;IPR006605;IPR009030;IPR003886;IPR024731;IPR011042;IPR000742;IPR000033;IPR009017;IPR001881;IPR013032,basement membrane [GO:0005604]; integral component of membrane [GO:0016021],cell-matrix adhesion [GO:0007160],NID1; NID2; SMOC1; SMOC2,Ndg CG12908 Dmel_CG12908,NID1; NID2; SMOC1; SMOC2,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Basement Membrane; Laminin,FBgn0002526,FBgn0002526,LanA,Q00174,Laminin subunit alpha (Laminin A chain),IPR000742;IPR008979;IPR009254;IPR010307;IPR000034;IPR013320;IPR008211;IPR011641;IPR038684;IPR013032;IPR001791;IPR002049,axon [GO:0030424]; basal lamina [GO:0005605]; basement membrane [GO:0005604]; cell junction [GO:0030054]; presynaptic periactive zone [GO:0036062]; synaptic vesicle [GO:0008021],"axon guidance [GO:0007411]; brain morphogenesis [GO:0048854]; cell adhesion mediated by integrin [GO:0033627]; dorsal trunk growth, open tracheal system [GO:0035001]; female meiosis chromosome segregation [GO:0016321]; heart development [GO:0007507]; inter-male aggressive behavior [GO:0002121]; locomotion involved in locomotory behavior [GO:0031987]; melanotic encapsulation of foreign target [GO:0035011]; mesoderm development [GO:0007498]; negative regulation of synaptic growth at neuromuscular junction [GO:0045886]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995]; regulation of glucose metabolic process [GO:0010906]; startle response [GO:0001964]; substrate adhesion-dependent cell spreading [GO:0034446]",AGRN; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTNG1,LanA lamA CG10236,AGRN; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTNG1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Basement Membrane; Laminin,FBgn0261800,FBgn0261800,LanB1,P11046,Laminin subunit beta-1 (Laminin B1 chain),IPR013015;IPR000742;IPR008211;IPR038684;IPR013032;IPR002049,basal lamina [GO:0005605]; basement membrane [GO:0005604]; endomembrane system [GO:0012505]; extracellular matrix [GO:0031012],animal organ development [GO:0048513]; basement membrane assembly [GO:0070831]; cardiac muscle cell development [GO:0055013]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; defense response to Gram-negative bacterium [GO:0050829]; embryonic heart tube morphogenesis [GO:0003143]; extracellular matrix organization [GO:0030198]; gonad development [GO:0008406]; positive regulation of innate immune response [GO:0045089]; substrate adhesion-dependent cell spreading [GO:0034446],LAMB1; LAMB2; LAMB3; LAMB4; NTN4; MEGF9,LanB1 lamB1 CG7123,LAMB1; LAMB2; LAMB3; LAMB4; NTN4; MEGF9,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Basement Membrane; Laminin,FBgn0267348,FBgn0267348,LanB2,P15215;X2JAW6,Laminin subunit gamma-1 (Laminin B2 chain),IPR038684;IPR000034;IPR000742;IPR002049;IPR008211,basal lamina [GO:0005605]; basement membrane [GO:0005604]; endomembrane system [GO:0012505]; extracellular matrix [GO:0031012],basement membrane assembly [GO:0070831]; cell adhesion mediated by integrin [GO:0033627]; endodermal digestive tract morphogenesis [GO:0061031]; extracellular matrix assembly [GO:0085029]; midgut development [GO:0007494]; salivary gland morphogenesis [GO:0007435]; substrate adhesion-dependent cell spreading [GO:0034446],LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMB3; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTNG1,LanB2 LAMC1 LAMG1 CG3322,LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMB3; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTNG1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Basement Membrane; Laminin,FBgn0261563,FBgn0261563,wb,M9MRU0;Q8IP51;Q9XZC9;R9PY40,"Wing blister, isoform B",IPR000742;IPR013320;IPR000034;IPR008211;IPR038684;IPR013032;IPR001791;IPR002049,basal lamina [GO:0005605]; basement membrane [GO:0005604],digestive tract mesoderm development [GO:0007502]; gonad development [GO:0008406],LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTNG1,wb &agr1 2 2]] 2Lan A1 alpha2 alpha[[1 BEST:CK02229 BG:DS03792.1 BG:DS03792.2 CK02229 CT35236 DLAM Dmel\CG42677 fus5 l(2)09437 l(2)34Fb l(2)br1 l34Fb LanA1 LM-A CG15288 CG32970 CG42677 Dmel_CG42677,LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTNG1,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Netrin,FBgn0015773,FBgn0015773,NetA,M9NF48;Q24567;X2JEZ9,Netrin-A,IPR018933;IPR001134;IPR038684;IPR008211;IPR008993;IPR002049,axonal growth cone [GO:0044295]; cytosol [GO:0005829]; proteinaceous extracellular matrix [GO:0005578],axon guidance [GO:0007411]; compound eye development [GO:0048749]; dendrite guidance [GO:0070983]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; regulation of photoreceptor cell axon guidance [GO:2000289],EGFLAM; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTN5; NTNG1; NTNG2; MEGF9,NetA CG18657,EGFLAM; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTN5; NTNG1; NTNG2; MEGF9,,
Homologs/Orthologs to Mammalian Core Matrisome Genes,ECM Glycoproteins,Netrin,FBgn0015774,FBgn0015774,NetB,E1JJP7;M9PH47;Q24568;Q95SP5,Netrin-B,IPR018933;IPR001134;IPR038684;IPR008211;IPR008993;IPR002049,axonal growth cone [GO:0044295]; proteinaceous extracellular matrix [GO:0005578],axon guidance [GO:0007411]; compound eye development [GO:0048749]; dendrite guidance [GO:0070983]; glial cell migration [GO:0008347]; motor neuron axon guidance [GO:0008045]; regulation of photoreceptor cell axon guidance [GO:2000289]; salivary gland boundary specification [GO:0007432]; synaptic target attraction [GO:0016200]; synaptic target recognition [GO:0008039],EGFLAM; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTN5; NTNG1; NTNG2; MEGF9,NetB CG10521,EGFLAM; LAMA1; LAMA2; LAMA3; LAMA4; LAMA5; LAMC1; LAMC2; LAMC3; NTN1; NTN3; NTN4; NTN5; NTNG1; NTNG2; MEGF9,,
