division,category,Gene Symbol,Gene Name,geneid,Ensembl IDs,UniProt IDs,Human Orthologue,Mouse Orthologue,Dr Matrisome,combined_orthology
Core matrisome,ECM Glycoproteins,abi3bpa,"ABI family, member 3 (NESH) binding protein a",ZDB-GENE-070912-325,ENSDARG00000062156,F1Q9H3:F1RA08:A0A0R4I9M4:F1QU89,ABI3BP,Abi3bp,Yes,ABI3BP
Core matrisome,ECM Glycoproteins,abi3bpb,"ABI family, member 3 (NESH) binding protein b",ZDB-GENE-030131-6041,ENSDARG00000071095,Q7ZW12,ABI3BP,Abi3bp,Yes,ABI3BP
Core matrisome,ECM Glycoproteins,adipoqa,"adiponectin, C1Q and collagen domain containing, a",ZDB-GENE-080423-2,ENSDARG00000062228,B2BX13:F1R6M1,ADIPOQ,Adipoq,Yes,ADIPOQ
Core matrisome,ECM Glycoproteins,adipoqb,"adiponectin, C1Q and collagen domain containing, b",ZDB-GENE-060825-220,ENSDARG00000100086,Q0P415:B2BX14:A0A0R4IYN0,ADIPOQ,Adipoq,Yes,ADIPOQ
Core matrisome,ECM Glycoproteins,aebp1,AE binding protein 1,ZDB-GENE-030131-2390,ENSDARG00000091726,E9QI37:E7F829,AEBP1,Aebp1,Yes,AEBP1
Core matrisome,ECM Glycoproteins,agrn,agrin,ZDB-GENE-030131-1033,ENSDARG00000079388,A0A0R4IPG9:B3GQ72:B3GQ71:A0A0R4IJ40:F1R074,AGRN,Agrn,Yes,AGRN
Core matrisome,ECM Glycoproteins,anos1a,anosmin 1a,ZDB-GENE-000201-9,ENSDARG00000012896,Q6P938:Q9IAR4:A0A0B5JS68:F1R469,KAL1,Slamf6,Yes,KAL1
Core matrisome,ECM Glycoproteins,anos1b,anosmin 1b,ZDB-GENE-000201-13,ENSDARG00000004932,Q1MT36:Q9IAR3:F1R3Y9,KAL1,Slamf6,Yes,KAL1
Core matrisome,ECM Glycoproteins,bglap,bone gamma-carboxyglutamate (gla) protein,ZDB-GENE-050113-4,ENSDARG00000058414,P83238:F1QK63:Q49UC0,BGLAP,Bglap2,Yes,BGLAP
Core matrisome,ECM Glycoproteins,bglapl ,"bone gamma-carboxyglutamate (gla) protein, like",ZDB-GENE-060608-3,ENSDARG00000104467,A0A0G2L7A3,BGLAP,Bglap2,Yes,BGLAP
Core matrisome,ECM Glycoproteins,bmper,BMP binding endothelial regulator,ZDB-GENE-030219-146,ENSDARG00000101980,A0A0R4IIF4:A0A0R4IW52:A0A0R4IGC8:A0A0B5JK69:Q5D734:A0A0R4IR45:A0A0R4IDS8:A6H8K2,BMPER,Bmper,Yes,BMPER
Core matrisome,ECM Glycoproteins,cdcp2,CUB domain containing protein 2,ZDB-GENE-070705-485,ENSDARG00000075866,F1QAR0:F8W2N6,CDCP2,Cdcp2,Yes,CDCP2
Core matrisome,ECM Glycoproteins,ch1073-291c23.1,ch1073-291c23.1,ZDB-GENE-050208-114,ENSDARG00000063631,F1Q4S4:F1Q7N1,VIT,Vit,Yes,VIT
Core matrisome,ECM Glycoproteins,cilp,"cartilage intermediate layer protein, nucleotide pyrophosphohydrolase",ZDB-GENE-050208-76,ENSDARG00000053362,Q5BLC3:F1Q775,CILP,Cilp,Yes,CILP
Core matrisome,ECM Glycoproteins,cilp2,cartilage intermediate layer protein 2,ZDB-GENE-050208-436,ENSDARG00000013687,F1Q5N7:A0A0R4IUE6:A0A0R4IEB4:F1REH4,CILP2,Cilp2,Yes,CILP2
Core matrisome,ECM Glycoproteins,coch,"coagulation factor C homolog, cochlin (Limulus polyphemus)",ZDB-GENE-030616-403,ENSDARG00000024032,B3DFV8:Q8AW56,COCH,Coch,Yes,COCH
Core matrisome,ECM Glycoproteins,colq,collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase,ZDB-GENE-110411-119,ENSDARG00000019692,F1Q7Y1,COLQ,Colq,Yes,COLQ
Core matrisome,ECM Glycoproteins,comp,cartilage oligomeric matrix protein,ZDB-GENE-060606-1,ENSDARG00000098431,A0A0G2KDJ5,COMP,Comp,Yes,COMP
